"Programmname title";"Beschreibung description";"Schlüsselwörter keywords";"Vorschaubild thumbnail";"URL";"Breite";"Höhe"
"Elektrochemie";"Ableiten der elektrochemischen Spannungsreihe anhand der jeweiligen galvanischen Halbzellen ";"Halbzellenpotenzial, Halbzellenpotential, Elektromotorische Kraft, EMK, elektrochemische Spannungsreihe, Elektronendruckreihe, Primärelement, Sekundärelement, Batterie, Akkumulator, galvanische Zelle";"https://chemie-lernprogramme.de/vorschaubilder/Elektrochemie.png";"https://chemie-lernprogramme.de/daten/programme/js/elektrochemer-online/index.html";680;780
"Elektronenbesetzung";"Veranschaulicht die Elektronenbesetzung und die sich daraus ergebende Anordnung der Elemente im Periodensystem einschließlich der Nebengruppen";"Periodensystem, Valenzelektronenkonfiguration, Orbitale, Atombau";"https://chemie-lernprogramme.de/vorschaubilder/Elektronenbesetzung.png";"https://chemie-lernprogramme.de/daten/programme/js/elektronenbesetzer/index.html";680;540
"Elektronendruckreihe";"Die nach ihrem Elektronendruck angeordneten korrespondierenden Redoxpaare erlauben eine Vorhersage der thermodynamisch bevorzugten Reaktionsrichtung";"Elektronendruckreihe, Elektromototische Kraft, EMK, Redoxpotential, Halbzellenpotetial, Elektronendruck, Anode, Kathode, Stromfluss, Spannung";"https://chemie-lernprogramme.de/vorschaubilder/Elektronendruckreihe.png";"https://chemie-lernprogramme.de/daten/programme/js/elektronendruckreiher/index.html";640;720
"Elektronenpaar-Abstoßungs-Modell";"Zeigt den räumlichen Bau von Molekülen mit Hilfe des Elektronenpaar-Abstoßungs-Modells ";"EPA-Modell, VSEPR-Modell, Elektronenpaar-Abstoßung, Orbitale, Atomorbitale, Molekülorbitale, räumlicher Bau, Geometrie, Molekülgeometrie; Chiralität";"https://chemie-lernprogramme.de/vorschaubilder/Elektronenpaar-Abstossungs-Modell.png";"https://chemie-lernprogramme.de/daten/programme/js/elektronenpaar_abstosser/index.html";540;680
"Energiewandler";"Veranschaulicht den Energiefluss durch verschiedene Energiewandler mit dem jeweiligen Wirkungsgrad anhand eines vereinfachten Modells";"Energiewandler, Lebewesen, Energieerhaltung, Energieentwertung, Solarzelle, Brennstoffzelle, Fotosynthese, Solarkollektor, Akkumulator, Generator, Turbine, Elektromotor ";"https://chemie-lernprogramme.de/vorschaubilder/Energiewandler.png";"https://chemie-lernprogramme.de/daten/programme/js/energiewandler-online/index.html";800;600
"Enzyme benennen";"Eläutert die Benennung der wichtigsten Enzymkategorien sowie deren Bedeutung in verschiedenen Bereichen der Chemie und der Biologie";"Enzym, Biokatalysator, aktives Zentrum, Substrat, Kosubstrat, allosterisch, kompetitiv, Hydrolyse";"https://chemie-lernprogramme.de/vorschaubilder/Enzyme_benennen.png";"https://chemie-lernprogramme.de/daten/programme/js/enzymbenenner/index.html";680;480
"Farbstoffe";"Generiert aus bestimmten Gruppen wichtige Farbstoffe verschiedener Farbstoffklassen und zeigt die dazugehörige Farbe an";"Farbstoffe, Farbstoffklassen, Chromophor, Auxochrom, Antiauxochrom, Azofarbstoffe, Chemie, Lernprogramme, Übungsaufgaben";"https://chemie-lernprogramme.de/vorschaubilder/Farbstoffe.png";"https://chemie-lernprogramme.de/daten/programme/js/farbstoffermittler-online/index.html";660;690
"Fettsäuren";"Veranschaulicht die Struktur sowie die Eigenschaften wichtiger Fettsäuremoleküle";"Fettsäuren, gesättigte, ungesättigte, Anzahl der Doppelbindungen, Sättigungsgrad, Schmelzpunkte, räumlicher Bau ";"https://chemie-lernprogramme.de/vorschaubilder/Fettsaeuren.png";"https://chemie-lernprogramme.de/daten/programme/js/fettsaeurer-online/index.html";550;580
"Hexosen";"Ermittelt die Namen und Fischer-Projektionen aller D- und L-Aldo- und -Keto-Hexosen";"Hexose, Aldose, Ketose, D-Zucker, L-Zucker, Fischer-Projektion, RS-Stereoisomerie, Enantiomere, Diastereomere ";"https://chemie-lernprogramme.de/vorschaubilder/Hexosen.png";"https://chemie-lernprogramme.de/daten/programme/js/hexoser-online/index.html";500;400
"Interaktiver Betrachter für 3D-Strukturen";"Für viele molekulare Stoffe aber auch einige Gitter die Raumstrukturen in einem konfigurierbaren interaktiven Betrachter mit verschiedenen Ansichtseinstellungen ansehen und begreifen";"Molekülbetrachter, 3D-Viewer, 3D-Moleküle, Strukturen ";"https://chemie-lernprogramme.de/vorschaubilder/Interaktiver_Betrachter_fuer_3D-Strukturen.png";"https://chemie-lernprogramme.de/daten/programme/js/3dmolekuele/index.html";700;680
"Ionenradien";"Vergleichende Darstellung von Ionenradien";"Ionenradius, Ionisierungsenergie, Elektronenaffinität, Kästchen, Muster, Vektorgrafik, Koordinatensystem, Trends im Periodensystem der Elemente, PSE";"https://chemie-lernprogramme.de/vorschaubilder/Ionenradien.png";"https://chemie-lernprogramme.de/daten/programme/js/ionenradienvergleicher/index.html";540;620
"Katalyse";"Veranschaulicht die Wirkungsweise verschiedener Katalysatoren";"Katalysator, homogene Katalyse, heterogene Katalyse, Kinetik, Reaktionskinetik ";"https://chemie-lernprogramme.de/vorschaubilder/Katalyse.png";"https://chemie-lernprogramme.de/daten/programme/js/katalyser-online/index.html";680;640
"Kohlenstoffkreislauf";"Veranschaulicht den globalen Kohlenstoffkreislauf sowie den Einfluss der Verbrennung fossiler Brennstoffe auf das Klima anhand eines vereinfachten Modells";"Kohlenstoffkreislauf, Klimawandel, CO2-Emission, Erderwärmung, Gesteinsbildung, Treibhauseffekt ";"https://chemie-lernprogramme.de/vorschaubilder/Kohlenstoffkreislauf.png";"https://chemie-lernprogramme.de/daten/programme/js/kohlenstoffkreislaeufer-online/index.html";700;740
"Konstitutionsisomerie";"Zeigt die Konstitutionsisomere von kurzkettigen Kohlenwasserstoffen und sauerstoffhaltigen Verbindungen";"Organische Chemie, Konstitutionsisomerie, Isomerie, Gerüstisomerie, funktionelle Isomerie";"https://chemie-lernprogramme.de/vorschaubilder/Konstitutionsisomerie.png";"https://chemie-lernprogramme.de/daten/programme/js/isomerer/index.html";720;540
"Konzentrationsabhängigkeit des chemischen Gleichgewichts";"Veranschaulicht die Konzentrationsabhängigkeit der Lage des chemischen Gleichgewichts";"Chemisches Gleichgewicht, Konzentrationsabhängigkeit ";"https://chemie-lernprogramme.de/vorschaubilder/Konzentrationsabhaengigkeit_des_chemischen_Gleichgewichts.png";"https://chemie-lernprogramme.de/daten/programme/js/gleichgewichtkonzentrierer-online/index.html";720;720
"Modellversuch Wasserstandsgleichgewicht";"Veranschaulicht dynamische Gleichgewichte anhand eines einfachen Wasserstandsgleichgewichts als Modellversuch";"chemisches Gleichgewicht, Wasserstandsgleichgewicht, dynamisches Gleichgewicht, Wasserstandsmodell, Pipettenheber, Gleichgewichtskonstante, Reaktionsgeschwindigkeit der Hin- und Rückreaktion ";"https://chemie-lernprogramme.de/vorschaubilder/Modellversuch_Wasserstandsgleichgewicht.png";"https://chemie-lernprogramme.de/daten/programme/js/gleichgewichtmodeller-online/index.html";640;640
"Molare Größen berechnen";"Berechnung des Volumens, der Masse, der Teilchenzahl oder der Stoffmenge";"Mol, Stoffmenge, Stöchiometrie, Molare Masse, Molares Volumen, Avogadro-Konstante, Normvolumen, ideales Gas ";"https://chemie-lernprogramme.de/vorschaubilder/Molare_Groessen_berechnen.png";"https://chemie-lernprogramme.de/daten/programme/js/molrechner-online/index.html";560;560
"Molare Umrechnungen";"Berechnung des Volumens, der Masse, der Teilchenzahl oder der Stoffmenge";"Molrechner, Stöchiometrie, quantitative Aspekte chemischer Reaktionen, Stoffmengenverhältnis";"https://chemie-lernprogramme.de/vorschaubilder/Molare_Umrechnungen.png";"https://chemie-lernprogramme.de/daten/programme/js/stoechiometrie/index.html";500;360
"Molekülformeln benennen";"Bennenung einfacher Moleküle, die aus Atomen zweier verschiedener Elemente bestehen";"Moleküle, molekulare Stoffe, Nomenklatur";"https://chemie-lernprogramme.de/vorschaubilder/Molekuelformeln_benennen.png";"https://chemie-lernprogramme.de/daten/programme/js/molekuelformelbenenner/index.html";700;280
"Molekülstrukturen für Elemente im PSE";"3D-Strukturen wichtiger Moleküle geordnet nach den Hauptgruppenelementen des Periodensystems";"Molekülvisualisierung, Strukturformel, räumlicher Bau, Bindungsbildung, Elektronenpaarbindung, Atombindung, Molekül, Molekülion, Elektronenpaar-Abstoßungsmodell, VSEPR, elementare Nichtmetalle, Nichtmetalloxide, Nichtmetallhydride, Sauerstoffsäuren ";"https://chemie-lernprogramme.de/vorschaubilder/Molekuelstrukturen_fuer_Elemente_im_PSE.png";"https://chemie-lernprogramme.de/daten/programme/js/molekuelbildner/index.html";720;870
"Monosacharide";"Übersicht zu den Triosen, Tetrosen, Pentosen und Hexosen, jeweils als Aldosen und Ketosen in der Fischer-Projektion ";"Monosaccharid, Triose, Tetrose, Pentose, Hexose, Aldose, Ketose, Enantiomere, Diastereomere, D, L";"https://chemie-lernprogramme.de/vorschaubilder/Monosacharide.png";"https://chemie-lernprogramme.de/daten/programme/js/monosaccharider/index.html";560;480
"Nernstsche Gleichung";"Berechnet das elektrochemische Potential wichtiger Halbzellen";"Nernstsche Gleichung, Halbzelle, Halbzellenpotenzial, Elektromotorische Kraft, EMK, Konzentrationsabhängigkeit, Elektrochemie ";"https://chemie-lernprogramme.de/vorschaubilder/Nernstsche_Gleichung.png";"https://chemie-lernprogramme.de/daten/programme/js/nernster-online/index.html";700;300
"Oxidationszahl ermitteln";"Berechnet die mittlere Oxidationszahl eines Elements für einfache Verbindungen, die aus zwei oder drei Elementen bestehen";"Oxidationszahl, binäre, ternäre Verbindung ";"https://chemie-lernprogramme.de/vorschaubilder/Oxidationszahl_ermitteln.png";"https://chemie-lernprogramme.de/daten/programme/js/ozer-online/index.html";600;280
"pH-Wert Berechnung";"Berechnet pH-Werte starker und schwacher Säuren";"pH-Wert, starke und schwache Säuren, pKS-Wert, pKA-Wert, Säurestärke, Protolysegrad ";"https://chemie-lernprogramme.de/vorschaubilder/pH-Wert_Berechnung.png";"https://chemie-lernprogramme.de/daten/programme/js/phwert-online/index.html";540;280
"Polymere (Kunststoffe Polypeptide Polysaccharide Nukleinsaeuren)";"Zeigt die Synthese und den Aufbau für alle Kunststoffklassen sowie für Naturstoffe wie Proteine, Kohlenhydrate und Nukleinsäuren";"Peptidbindung, Glycosidische Bindung, Polyester, Polymide, Polyurethane, Polykondensation, Polymerisation, Polyaddition, Nukleinsäuren, DNA, RNA, Polysaccharide, Naturstoffe, Kunststoffe, Nährstoffe, Nährestoffbausteine, Primärstruktur, Sekundärstruktur, Tertiärstruktur, Doppelhelix ";"https://chemie-lernprogramme.de/vorschaubilder/Polymere_Kunststoffe_Polypeptide_Polysaccharide_Nukleinsaeuren.png";"https://chemie-lernprogramme.de/daten/programme/js/polymerer-online/index.html";980;630
"Protolysegrad";"Veranschaulicht den dissoziierten und den undissoziierten Anteil starker und schwacher verdünnter Säuren";"Protolysegrad, starke, schwache, Säuren, Säurestärke, pks-Wert";"https://chemie-lernprogramme.de/vorschaubilder/Protolysegrad.png";"https://chemie-lernprogramme.de/daten/programme/js/protolysegrader/index.html";680;680
"Protonendruckreihe";"Zeigt alle Protonenübertragungsreaktionen als Kombination der verschiedenen korrespondierenden Säure-Base-Paare an, die nach Protonendruck geordnet sind";"Protonendruckreihe, Säurestärke, Protolysegrad, exotherm, exergonisch, Reaktionsrichtung, Säure-Base-Reaktion, Donator-Akzeptor-Reaktion, korrespondierende Säure-Base-Paare";"https://chemie-lernprogramme.de/vorschaubilder/Protonendruckreihe.png";"https://chemie-lernprogramme.de/daten/programme/js/protonendruckreiher/index.html";550;720
"Protonenübergaenge";"Veranschaulicht das einfachen Säure-Base-Reaktionen zugrundeliegende Donator-Akzeptor-Konzept auf verschiedenen Darstellungsebenen (u.a. Kugelmodell, Strukturformel, Schalenmodell)";"Säure-Base-Reaktion, Protonenübergang, Protonenübertragung, Säure, Base, Arrhenius, Brönsted, Lewis ";"https://chemie-lernprogramme.de/vorschaubilder/Protonenuebergaenge.png";"https://chemie-lernprogramme.de/daten/programme/js/protonierer-online/index.html";580;660
"PSE-Puzzle";"Puzzle zum Periodensystem";"Periodensystem, Lernspiel";"https://chemie-lernprogramme.de/vorschaubilder/PSE-Puzzle.png";"https://chemie-lernprogramme.de/daten/programme/js/pse_puzzle/index.html";490;580
"Puffer-Lösungen";"Berechnung des pH-Werts mit Hilfe der Henderson-Hasselbalch-Gleichung für die meisten gängigen Puffersysteme";"Puffer, Henderson-Hasselbalch-Gleichung";"https://chemie-lernprogramme.de/vorschaubilder/Puffer-Loesungen.png";"https://chemie-lernprogramme.de/daten/programme/js/pufferer/index.html";1000;530
"Reaktionsmechanismen";"Veranschaulicht die vielfältigen Reaktionsmechanismen der organischen Chemie";"Reaktionsmechanismen, Addition, Substitution, Nukleophil, Elektrophil, radikalisch";"https://chemie-lernprogramme.de/vorschaubilder/Reaktionsmechanismen.png";"https://chemie-lernprogramme.de/daten/programme/js/mechanismer-online/index.html";740;880
"Ringförmige D-Aldopyranosen";"Übersicht zu den ringförmigen D-Aldohexosen als Halbacetal in der Pyranoseform, dargestellt in der Haworth-Projektion";"Zucker, Kohlenhydrate, Aldosen, Stereoisomere, Hexosen, Pyranose, D-Form, L-Form, Enantionmere, Diastereomere";"https://chemie-lernprogramme.de/vorschaubilder/Ringfoermige_D-Aldopyranosen.png";"https://chemie-lernprogramme.de/daten/programme/js/pyranoser/index.html";680;560
"Salzbildung und Verdraengungsreaktionen";"Veranschaulicht einfache Redoxreaktionen am Beispiel von Salzbildungsreaktionen sowie von Verdrängungsreaktionen der Metalle und Nichtmetalle in verschiedenen Darstellungsformen";"Salzbildung, Verdrängungsreaktionen, Metalle, Nichtmetalle, Reduktionsmittel, Oxidationsmittel, Aldehyde, Oxidierbarkeit, Reduktionsmittelstärke, Fehling-Probe, Silberspiegel-Probe, schwarzes Kupferoxid, Kaliumdichromat, Kaliumpermanganat ";"https://chemie-lernprogramme.de/vorschaubilder/Salzbildung_und_Verdraengungsreaktionen.png";"https://chemie-lernprogramme.de/daten/programme/js/oxidierer/index.html";750;710
"Salze benennen";"Übung zur Benennung von Salzen";"Salz, Ionenverbindung, Nomenklatur, Benennung";"https://chemie-lernprogramme.de/vorschaubilder/Salze_benennen.png";"https://chemie-lernprogramme.de/daten/programme/js/salzbenenner/index.html";700;280
"Säure-Base-Reaktionen aus den Teilchennamen";"Generiert einfache Säure-Base-Reaktionsgleichungen aus eingegebenen Teilchennamen der Edukte";"Säure-Base-Reaktion, Protonenübertragung, Protonenübergang, Brönsted-Säure, Korrespondierendes Säure-Base-Paar ";"https://chemie-lernprogramme.de/vorschaubilder/Saeure-Base-Reaktionen_aus_den_Teilchennamen.png";"https://chemie-lernprogramme.de/daten/programme/js/acidbaser-online/index.html";920;280
"Stöchiometrie über Stoffmengenverhältnisse";"Stöchiometrische Berechnungen zur Masse, zum Volumen, zur Teilchenzahl oder einfach zur entsprechenden Stoffmenge";"Molare Masse, Molares Volumen, Normvolumen, Avogadro-Konstante, Mol, Stöchiometrie ";"https://chemie-lernprogramme.de/vorschaubilder/Stoechiometrie_ueber_Stoffmengenverhaeltnisse.png";"https://chemie-lernprogramme.de/daten/programme/js/stoffmengenverhaeltnisser/index.html";780;650
"Stoffklassen sauerstoffhaltiger organischer Verbindungen";"Ermittelt aus Strukturformelausschnitten sauerstoffhaltiger Verbindungen die Stoffklasse";"Carbonylgruppe, Hydroxygruppe, Alkoxygruppe, Aminogruppe, Ester, Aldehyd, Keton, Ether, Carbamat, Harnstoff, Halbacetal, Vollacetal, Acetal, Halbketal, Vollketal, Ketal, Carbonsäureamid, Amid, Säureamid, Urethan, Halbaminal, Vollaminal, Aminal ";"https://chemie-lernprogramme.de/vorschaubilder/Stoffklassen_sauerstoffhaltiger_organischer_Verbindungen.png";"https://chemie-lernprogramme.de/daten/programme/js/stoffklassenermittler-online/index.html";660;300
"Substituenteneffekte bei organischen Säuren";"Zeigt für wichtige organische Säuren und Basen anhand von Struktureigenschaften die Substituenteneffekte an";"Aromatische und aliphatische organische Säuren und Basen, Substituenteneffekte, Mesomerer Effekt, Induktiver Effekt, Elektronenschub, Elektronenzug, Mesomerie ";"https://chemie-lernprogramme.de/vorschaubilder/Substituenteneffekte_bei_organischen_Saeuren.png";"https://chemie-lernprogramme.de/daten/programme/js/organische-saeuren-online/index.html";1000;400
"Temperaturabhängigkeit des chemischen Gleichgewichts";"Veranschaulicht die Temperaturabhängigkeit der Lage des chemischen Gleichgewichts";"Stickstoffdioxid-Distickstofftetroxid-Gleichgewicht, Temperaturabhngigkeit, endotherme Zerfallsreaktion, exotherme Bildungsreaktion ";"https://chemie-lernprogramme.de/vorschaubilder/Temperaturabhaengigkeit_des_chemischen_Gleichgewichts.png";"https://chemie-lernprogramme.de/daten/programme/js/gleichgewichttemperaturer-online/index.html";720;670
"Titration";"Veranschaulicht den Äquivalenzpunkt und gegebenenfalls den Pufferbereich mit dem Halbäquivalenzpunkt für Säure-Base-Titrationen";"Titration, Äquivalenzpunkt, Halbäquivalenzpunkt, Neutralpunkt, schwache Säuren, schwache Basen, Umschlagspunkt ";"https://chemie-lernprogramme.de/vorschaubilder/Titration.png";"https://chemie-lernprogramme.de/daten/programme/js/titrierer-online/index.html";900;860
"Verbrennung von Alkanen";"Ermittelt die Summenformelgleichung für die Verbrennung von Alkanen";"Alkan, Kohlenwasserstoffe, Verbrennung, Oxidation, Reaktionsgleichung, Koeffizienten ermitteln";"https://chemie-lernprogramme.de/vorschaubilder/Verbrennung_von_Alkanen.png";"https://chemie-lernprogramme.de/daten/programme/js/alkanverbrenner/index.html";720;800
"Verhältnisformel aufstellen";"Übung mit Veranschaulichung der verschiedenen Zahlenverhältnisse in Abhängigkeit von der Ionenladung";"Summenformel, Verhältnisformel, Salze, Ionen, ionische Verbindungen, Koeffezienten, Indizes";"https://chemie-lernprogramme.de/vorschaubilder/Verhaeltnisformel_aufstellen.png";"https://chemie-lernprogramme.de/daten/programme/js/verhaeltnisformler.html";420;680
"Verhältnisformeln aus den Namen der enthaltenen Elemente ermitteln";"Ermittelt die Verhältnisformel von Salzen nach Eingabe der Namen der enthaltenen Ionen";"Verhältnisformel, Salz, Summenformel, Index, Indizes, Koeffizient, Ladung, Ladungszahl, Oxidationszahl, Wertigkeit";"https://chemie-lernprogramme.de/vorschaubilder/Verhaeltnisformeln_aus_den_Namen_der_enthaltenen_Elemente_ermitteln.png";"https://chemie-lernprogramme.de/daten/programme/js/formulator-online/index.html";640;280
"Waschmittel und Tenside";"Veranschaulicht die Wirkungsweise anionischer und kationischer Tenside";"Tensid, anionisches Tensid, kationisches Tensid, Waschmittelwirkung ";"https://chemie-lernprogramme.de/vorschaubilder/Waschmittel_und_Tenside.png";"https://chemie-lernprogramme.de/daten/programme/js/tensider-online/index.html";780;600
"Wasserstoffbrückenbindungen";"Vergleich der Wasserstoffbrückenbindungen verschiedener Moleküle";"Wasserstoffbrücken, Wasserstoffbindung, Wasserstoffbrückenbindung, Hydrogenbond, Hydrogenbridge, Zwischenmolekulare Kräfte, Kationische Wasserstoffbrückenbindungen, Elektronegativtätsdifferenz, Ladungsdichte";"https://chemie-lernprogramme.de/vorschaubilder/Wasserstoffbrueckenbindungen.png";"https://chemie-lernprogramme.de/daten/programme/js/wasserstoffbrueckenbinder/index.html";720;620
"Wellenlängen berechnen";"Vorhersage des Absorptionsmaximums der Farbstoffklasse der Polymethine anhand der Kettenlänge";"Farbstoffklassen, Polymethin, Cyanine, Absorptionsmaximum, Wellenlänge, reflektiertes sichtbares Licht, Farbe, Farbvertiefung, konjugierte Systeme, Chromophor, bathochromer Effekt";"https://chemie-lernprogramme.de/vorschaubilder/Wellenlaengen_berechnen.png";"https://chemie-lernprogramme.de/daten/programme/js/wellenlaengenberechner/index.html";720;710
"Zwischenmolekulare Kräfte";"Zuordnung der jeweiligen zwischenmolekularen Kraft für verschiedene Moleküle mit Hilfe eines einfachen Schemas durch die Beantwortung von bis zu drei Fragen";"Zwischenmolekulare Kräfte, Wasserstoffbrückenbindungen, Wasserstoffbrücken, Van-der-Waals-Kräfte, Dipol-Dipol-Wechselwirkungen ";"https://chemie-lernprogramme.de/vorschaubilder/Zwischenmolekulare_Kraefte.png";"https://chemie-lernprogramme.de/daten/programme/js/zwischenmolekularer/index.html";660;560
